GT1 GAS TURBINE DATA LOG SHEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                                                    ABUJA: 1490, Samuel Ademulegun Street, Central Business District, Abuja. CALABAR: Calabar Power Station, Odukpani, Cross Rivers.                                                                                              ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUB SYSTEM,DESCRIPTION,KKS,UNIT,RANGE,ALARM,TRIP,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
,GT STATUS,Presel / Base,,,,,PS,,,,,,,,,,,,,,,,,,,,,,,
,LOAD ,DWATT,MW,0 < x < 126.1,126,135,95.1,99,99.1,97.9,96,100.1,103,96,102.8,104.9,106.4,100.2,108.9,102.5,107.7,105.5,107.8,107.8,105.1,108.6,109.9,98.7,109.6,103.4
,REACTIVE POWER,,MVAR,#NAME?,-40,-48,-13,-17.1,-19.5,-21.8,-20.8,-18.6,-19.5,-15.8,-13.4,-12.5,-6,-4.1,-3.2,-5,-7.7,-6.4,-1.5,-1.4,-0.1,-4,-7.4,-4,-9,-7.2
,GT SPEED,,RPM,2850-3120,3120,3210,3004,3018,3017,3014,3018,3006,3020,3019,3007,3016,3012,3014,3027,3019,3013,3018,3015,3004,3003,3009,3009,3008,3010,3017
,FREQUENCY,,Hz,48.7 - 50.9,51.5,52,50.37,50.29,50.5,50.3,50.16,50.24,50.23,50.3,50.44,50.26,50.43,50.2,50.44,50.54,50.35,50.33,50.33,50.15,50.36,50.08,50.46,50.32,50.33,50.47
,COMPRESSOR INLET PRESSURE,,mmH2O,#NAME?,,,127.4,117.4,125.4,135.8,133.4,134,135.6,132.6,127.9,113,114.5,117.4,103.5,92.4,95.5,86,92.7,92.5,93.2,101.6,108.5,105.2,110.4,115.4
,COMPRESSOR INLET AIR TEMP,,deg C,14.5 - 40,,,24,23,23,23,24,24,24,24,24,24,24,24,24,25,27,27,28,29,27,27,25,25,25,25
,COMPRESSOR DISCHARGE PRESSURE,CPD,bar,1.03 - 12.6,,,10,9,9,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,9,10,10
,COMPRESSOR DISCHARGE TEMPERATURE,CTD,deg C,280 - 370,,,346,664,662,629,327,326,333,332,334,344,357,351,361,347,362,352,356,361,360,359,358,356,359,345
,IGV POSITION,CSGV,DGA,33 - 86,,,76,62,61,61,57,57,63,60,63,71,56,78,86,72,82,74,79,86,83,86,86,85,86,72
,TORQUE ANGLE,,DGA,15 - 68,,,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
,DEW POINT,96RH,deg C,90%,,,,,,,,,,,,,,,,,,,,,,,,,,
,AIR FILTER DIFFERENTIAL,96TF,mmH2O,0 - 150,,,,,,,,,,,,,,,,,,,,,,,,,,
,FILTER DIFFERENTIAL PRESSURE,96CS-3,mmH2O,0 - 200,203,230,23,44,55,55,66,3,55,55,66,77,8,88,8,88,99,99,99,99,99,44,5,77,88,9
,LUBE OIL HEADER TEMPERATURE,LT-TH-1,deg C,32 - 71,77,82,,,,,,,,,,,,,,,,,,,,,,,,
,LUBE OIL HEADER PRESSURE,96QA-2,bar,2.8 - 6.9,2.75,2.5,,,,,,,,,,,,,,,,,,,,,,,,
,MAXIMUM VIBRATION,BB_MAX,mm/s,0 - 8.0,12.7,25.4,,,,,,,,,,,,,,,,,,,,,,,,
FUEL SYSTEM,FUEL GAS PRESSURE,FPG1,bar,21.5 - 25.9,21,20,,,,,,,,,,,,,,,,,,,,,,,,
,FUEL GAS PRESSURE,FPG2,bar,21.5 - 25.9,21,20,,,,,,,,,,,,,,,,,,,,,,,,
,FUEL GAS TEMPERATURE,FTG,deg C,20 - 80,,,,,,,,,,,,,,,,,,,,,,,,,,
,FUEL GAS FLOW,FQG,Kg/s,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
,FUEL STROKE REFERENCE,FSR,,20% - 80%,,,,,,,,,,,,,,,,,,,,,,,,,,
,SCRUBBER INLET TEMPERATURE,TI ,deg C,20 - 80,15,10,,,,,,,,,,,,,,,,,,,,,,,,
,COALESCING FILTER OUTLET TEMPERATURE,TI ,deg C,20 - 80,15,10,,,,,,,,,,,,,,,,,,,,,,,,
,SCRUBBER INTLET PRESSURE,PI ,bar,30 - 35,38,41,,,,,,,,,,,,,,,,,,,,,,,,
,COALESCING FILTER OUTLET PRESSURE,PI ,bar,21.93 - 27.5,21,20,,,,,,,,,,,,,,,,,,,,,,,,
EXHAUST TEMPERATURE,EXHAUST TEMPERATURE,TTDX,deg C,0 - 600,610,627,,,,,,,,,,,,,,,,,,,,,,,,
,ALLOWABLE SPREAD,TTXSPL,deg C,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXHAUST SPREAD 1,TTXSP1,deg C,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXHAUST SPREAD 2,TTXSP2,deg C,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXHAUST SPREAD 3,TTXSP3,deg C,,,,,,,,,,,,,,,,,,,,,,,,,,,
