Timestamp,CIP,CIT,CDP,CDT,IGV_Position,Filter_DP,VIB,GT_Speed,Load
2025-07-03 00:00:00,128.6,24.0,9.0,335.0,63.0,171.3,4.5,3019.0,95.1
2025-07-03 01:00:00,124.2,24.0,9.0,333.0,61.0,171.2,4.3,3020.0,94.6
2025-07-03 02:00:00,123.3,24.0,8.0,328.0,58.0,168.8,4.3,3014.0,99.2
2025-07-03 03:00:00,123.3,24.0,8.0,327.0,57.0,166.9,4.1,3013.0,84.9
2025-07-03 17:00:00,101.2,25.0,8.0,331.0,57.0,137.1,4.1,3032.0,89.1
2025-07-03 18:00:00,115.2,25.0,9.0,339.0,65.0,157.0,4.6,3025.0,104.3
2025-07-03 19:00:00,123.3,25.0,10.0,357.0,86.0,175.9,4.7,3014.0,109.3
2025-07-03 20:00:00,110.2,25.0,10.0,347.0,74.0,156.5,4.5,3017.0,93.2
2025-07-03 21:00:00,111.6,25.0,10.0,348.0,76.0,162.1,4.2,3010.0,106.6
2025-07-03 22:00:00,121.3,25.0,10.0,345.0,74.0,174.0,4.0,3012.0,104.5
2025-07-03 23:00:00,152.8,25.0,10.0,349.0,76.0,180.6,4.2,3022.0,103.3
2025-07-04 00:00:00,134.8,24.0,10.0,347.0,74.0,180.9,4.2,3022.0,105.2
2025-07-04 01:00:00,118.5,24.0,8.0,326.0,57.0,160.3,5.5,3023.0,85.9
2025-07-04 02:00:00,121.0,24.0,8.0,328.0,57.0,162.3,4.2,3019.0,89.9
2025-07-04 03:00:00,122.2,24.0,8.0,328.0,57.0,165.5,4.0,3021.0,90.5
2025-07-04 04:00:00,127.6,23.0,8.0,328.0,57.0,176.0,4.3,3008.0,95.4
2025-07-04 05:00:00,143.2,,9.0,336.0,66.0,191.7,4.1,3007.0,97.9
2025-07-04 06:00:00,144.6,23.0,9.0,338.0,69.0,194.6,4.3,3019.0,98.9
2025-07-04 07:00:00,129.0,23.0,9.0,339.0,66.0,180.0,4.2,3019.0,96.1
2025-07-04 08:00:00,131.0,24.0,9.0,341.0,67.0,180.0,4.2,3021.0,97.5
2025-07-04 09:00:00,4106.0,24.0,9.0,344.0,67.0,150.1,3.8,3020.0,97.7
2025-07-04 10:00:00,87.2,24.0,9.0,361.0,69.0,130.0,4.3,3010.0,104.1
2025-07-04 11:00:00,94.0,25.0,10.0,353.0,86.0,140.0,4.2,3018.0,108.5
2025-07-04 12:00:00,88.6,25.0,10.0,347.0,76.0,137.0,3.8,3020.0,102.8
2025-07-04 13:00:00,85.7,26.0,10.0,346.0,78.0,126.6,3.8,3020.0,97.9
2025-07-04 14:00:00,84.8,27.0,10.0,359.0,71.0,126.3,3.8,3014.0,106.1
2025-07-04 15:00:00,108.4,28.0,9.0,359.0,86.0,157.3,3.8,3012.0,107.2
2025-07-04 16:00:00,108.6,26.0,9.0,345.0,86.0,157.6,4.6,3019.0,107.2
2025-07-04 17:00:00,91.8,26.0,10.0,353.0,70.0,134.0,4.6,3014.0,107.0
2025-07-04 18:00:00,92.7,27.0,10.0,353.0,76.0,144.3,4.6,3015.0,106.9
2025-07-04 19:00:00,97.0,27.0,10.0,358.0,79.0,143.0,4.4,3007.0,108.6
2025-07-04 20:00:00,103.3,26.0,10.0,358.0,86.0,152.4,4.6,3008.0,109.1
2025-07-04 21:00:00,104.0,26.0,10.0,342.0,86.0,152.3,4.4,3020.0,107.9
2025-07-04 22:00:00,97.1,25.0,9.0,339.0,86.0,131.9,,3022.0,96.8
2025-07-04 23:00:00,95.1,26.0,9.0,340.0,69.0,140.0,4.4,3023.0,100.6
2025-07-05 00:00:00,104.6,25.0,9.0,342.0,69.0,148.9,4.5,,95.1
2025-07-05 01:00:00,1132.1,25.0,9.0,341.0,68.0,162.1,4.6,,99.5
2025-07-05 02:00:00,133.7,24.0,10.0,348.0,79.0,191.1,4.5,,106.3
2025-07-05 03:00:00,130.0,24.0,9.0,343.0,72.0,182.6,4.4,,104.5
2025-07-05 04:00:00,125.8,24.0,10.0,346.0,74.0,173.5,4.7,,104.1
2025-07-05 05:00:00,135.3,24.0,10.0,346.0,75.0,189.1,4.6,,104.2
2025-07-05 06:00:00,135.2,24.0,9.0,344.0,74.0,186.2,4.6,,103.4
2025-07-05 07:00:00,138.0,24.0,9.0,342.0,69.0,188.6,4.7,,102.6
2025-07-05 08:00:00,135.0,24.0,9.0,339.0,68.0,187.0,4.4,,99.8
2025-07-05 09:00:00,99.5,26.0,9.0,344.0,69.0,143.3,4.3,,100.6
2025-07-05 10:00:00,88.0,27.0,9.0,347.0,70.0,123.9,4.9,,97.2
2025-07-05 11:00:00,93.9,28.0,10.0,362.0,86.0,129.5,4.9,,105.2
2025-07-05 12:00:00,96.5,29.0,10.0,363.0,86.0,137.5,4.7,,107.2
2025-07-05 13:00:00,88.8,30.0,10.0,363.0,86.0,132.7,4.9,,106.3
2025-07-05 14:00:00,83.0,30.0,9.0,352.0,71.0,122.6,4.4,,99.7
2025-07-05 15:00:00,93.2,29.0,10.0,362.0,86.0,135.7,4.1,,106.9
2025-07-05 16:00:00,107.8,26.0,9.0,358.0,86.0,156.6,4.4,,104.8
2025-07-05 17:00:00,101.5,26.0,10.0,347.0,72.0,145.2,4.3,,108.4
2025-07-05 18:00:00,99.2,27.0,10.0,358.0,86.0,146.6,4.3,,108.8
2025-07-05 19:00:00,94.4,25.0,9.0,346.0,72.0,139.0,4.7,,103.2
2025-07-05 20:00:00,111.1,25.0,10.0,357.0,86.0,161.2,4.6,,109.3
2025-07-05 21:00:00,111.7,25.0,10.0,352.0,80.0,152.0,4.9,,101.3
2025-07-05 22:00:00,114.9,25.0,9.0,343.0,71.0,162.1,4.6,,101.1
2025-07-05 23:00:00,118.5,25.0,9.0,338.0,66.0,156.4,4.5,,97.6
2025-07-06 00:00:00,118.1,24.0,9.0,333.0,60.0,163.7,4.8,3028.0,50.45
2025-07-06 01:00:00,142.3,24.0,10.0,345.0,73.0,193.6,4.6,3017.0,50.26
2025-07-06 02:00:00,139.1,24.0,9.0,341.0,69.0,186.1,4.6,3019.0,50.28
2025-07-06 03:00:00,134.1,24.0,9.0,341.0,69.0,184.7,4.8,3016.0,50.27
2025-07-06 04:00:00,133.3,24.0,9.0,341.0,69.0,183.7,4.6,3018.0,50.31
2025-07-06 05:00:00,137.3,24.0,9.0,342.0,71.0,188.8,4.4,2013.0,50.3
2025-07-06 06:00:00,138.8,24.0,9.0,341.0,71.0,188.1,4.5,2009.0,50.09
2025-07-06 07:00:00,136.6,25.0,9.0,337.0,66.0,183.7,4.9,3011.0,50.11
2025-07-06 08:00:00,124.7,25.0,9.0,340.0,66.0,175.1,4.5,3028.0,50.47
2025-07-06 09:00:00,111.2,26.0,10.0,356.0,81.0,161.3,4.5,3032.0,50.51
2025-07-06 10:00:00,83.8,26.0,8.0,334.0,59.0,119.1,4.7,3030.0,50.49
2025-07-06 11:00:00,89.1,28.0,9.0,349.0,73.0,131.9,4.9,3018.0,50.31
2025-07-06 12:00:00,93.7,27.0,10.0,362.0,86.0,136.8,4.5,3007.0,50.22
2025-07-06 13:00:00,99.1,29.0,10.0,360.0,86.0,148.6,4.6,3012.0,50.2
2025-07-06 14:00:00,97.0,31.0,10.0,349.0,73.0,142.0,4.4,3016.0,50.27
2025-07-06 15:00:00,89.6,29.0,9.0,352.0,75.0,128.9,4.6,3019.0,50.33
2025-07-06 16:00:00,75.21,28.0,8.0,340.0,59.0,113.9,4.3,3031.0,50.51
2025-07-06 17:00:00,94.2,27.0,10.0,361.0,86.0,140.5,4.7,3007.0,50.22
2025-07-06 18:00:00,94.9,27.0,10.0,359.0,86.0,142.3,4.6,3013.0,50.25
2025-07-06 19:00:00,99.0,26.0,10.0,360.0,86.0,145.0,4.5,3008.0,50.31
2025-07-06 20:00:00,95.9,26.0,9.0,344.0,68.0,140.1,4.4,3022.0,50.19
2025-07-06 21:00:00,105.3,25.0,10.0,159.0,86.0,153.5,4.6,3012.0,50.22
2025-07-06 22:00:00,97.8,26.0,10.0,349.0,75.0,143.7,4.1,3015.0,50.32
2025-07-06 23:00:00,108.0,25.0,10.0,347.0,74.0,154.0,4.7,3016.0,50.35
2025-07-07 00:00:00,113.1,25.0,9.0,343.0,70.0,157.0,4.5,3018.0,101.3
2025-07-07 01:00:00,140.2,24.0,10.0,347.0,76.0,185.5,4.7,3017.0,99.6
2025-07-07 02:00:00,127.9,24.0,9.0,341.0,69.0,174.1,4.5,3016.0,99.4
2025-07-07 03:00:00,121.6,24.0,9.0,341.0,69.0,168.1,4.5,3012.0,101.6
2025-07-07 04:00:00,127.7,24.0,9.0,341.0,69.0,176.8,4.7,3017.0,101.2
2025-07-07 05:00:00,132.1,24.0,9.0,339.0,68.0,178.7,4.5,3004.0,108.2
2025-07-07 06:00:00,143.3,24.0,10.0,351.0,69.0,181.9,4.6,3012.0,99.5
2025-07-07 07:00:00,135.1,24.0,9.0,341.0,81.0,154.4,4.4,3018.0,98.4
2025-07-07 08:00:00,132.5,24.0,9.0,340.0,68.0,185.5,4.5,3021.0,100.2
2025-07-07 09:00:00,182.2,26.0,9.0,340.0,67.0,176.1,4.4,3021.0,109.3
2025-07-07 10:00:00,96.2,27.0,9.0,340.0,64.0,132.2,4.5,3018.0,100.9
2025-07-07 11:00:00,97.2,27.0,10.0,353.0,64.0,147.2,4.7,3016.0,108.2
